run_id,participant,session,trial_index,trial_id,image_file,sample_index,sample_session_s,sample_unix_s,sample_from_image_onset_s,gaze_x_pix,gaze_y_pix,units
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,99,80.106398,1778422387.126957,1.633333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,100,80.123065,1778422387.143624,1.65,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,101,80.139732,1778422387.160291,1.666667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,102,80.156398,1778422387.176957,1.683333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,103,80.173065,1778422387.193624,1.7,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,104,80.189732,1778422387.210291,1.716667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,105,80.206398,1778422387.226957,1.733333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,106,80.223065,1778422387.243624,1.75,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,107,80.239732,1778422387.260291,1.766667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,108,80.256398,1778422387.276957,1.783333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,109,80.273065,1778422387.293624,1.8,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,110,80.289732,1778422387.310291,1.816667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,111,80.306398,1778422387.326957,1.833333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,112,80.323065,1778422387.343624,1.85,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,113,80.339732,1778422387.360291,1.866667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,114,80.356398,1778422387.376957,1.883333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,115,80.373065,1778422387.393624,1.9,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,116,80.389732,1778422387.410291,1.916667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,117,80.406398,1778422387.426957,1.933333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,118,80.423065,1778422387.443624,1.95,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,119,80.439732,1778422387.460291,1.966667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,120,80.456398,1778422387.476957,1.983333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,121,80.473065,1778422387.493624,2.0,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,122,80.489732,1778422387.510291,2.016667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,123,80.506398,1778422387.526957,2.033333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,124,80.523065,1778422387.543624,2.05,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,125,80.539732,1778422387.560291,2.066667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,126,80.556398,1778422387.576957,2.083333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,127,80.573065,1778422387.593624,2.1,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,128,80.589732,1778422387.610291,2.116667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,129,80.606398,1778422387.626957,2.133333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,130,80.623065,1778422387.643624,2.15,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,131,80.639732,1778422387.660291,2.166667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,132,80.656398,1778422387.676957,2.183333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,133,80.673065,1778422387.693624,2.2,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,134,80.689732,1778422387.710291,2.216667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,135,80.706398,1778422387.726957,2.233333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,136,80.723065,1778422387.743624,2.25,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,137,80.739732,1778422387.760291,2.266667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,138,80.756398,1778422387.776957,2.283333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,139,80.773065,1778422387.793624,2.3,204.0,10.0,pix
