run_id,participant,session,trial_index,trial_id,image_file,sample_index,sample_session_s,sample_unix_s,sample_from_image_onset_s,gaze_x_pix,gaze_y_pix,gaze_movement_px,gaze_movement_cumulative_px,screen_width_px,screen_height_px,image_stim_width_units,image_stim_height_units,image_stim_center_x_units,image_stim_center_y_units,units
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,49,23.255814,1779135512.67344,0.8,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,50,23.272481,1779135512.690107,0.816667,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,51,23.289148,1779135512.706773,0.833333,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,52,23.305814,1779135512.72344,0.85,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,53,23.322481,1779135512.740107,0.866667,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,54,23.339148,1779135512.756773,0.883333,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,55,23.355814,1779135512.77344,0.9,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,56,23.372481,1779135512.790107,0.916667,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,57,23.389148,1779135512.806773,0.933333,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,58,23.405814,1779135512.82344,0.95,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,59,23.422481,1779135512.840107,0.966667,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,60,23.439148,1779135512.856773,0.983333,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,61,23.455814,1779135512.87344,1.0,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,62,23.472481,1779135512.890107,1.016667,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,63,23.489148,1779135512.906773,1.033333,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,64,23.505814,1779135512.92344,1.05,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,65,23.522481,1779135512.940107,1.066667,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,66,23.539148,1779135512.956773,1.083333,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,67,23.555814,1779135512.97344,1.1,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,68,23.572481,1779135512.990107,1.116667,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,69,23.589148,1779135513.006773,1.133333,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,70,23.605814,1779135513.02344,1.15,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,71,23.622481,1779135513.040107,1.166667,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,72,23.639148,1779135513.056773,1.183333,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,73,23.655814,1779135513.07344,1.2,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,74,23.672481,1779135513.090107,1.216667,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,75,23.689148,1779135513.106773,1.233333,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,76,23.705814,1779135513.12344,1.25,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,77,23.722481,1779135513.140107,1.266667,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,78,23.739148,1779135513.156773,1.283333,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_22-18-09-416,001,001,1,P001,wikiart_practice/practice_wikiart_001_surrealistic_gouache.jpg,79,23.755814,1779135513.17344,1.3,186.0,-58.0,0.0,0.0,2940,1912,1.112116,0.82,0.0,0.0,pix
